Date,T,RH,Gas,Value,,
15/3/2016,12.02083337,54.88333368,CO,1053.2,,
16/3/2016,9.833333318,64.06979144,CO,995.25,,
17/3/2016,11.29270837,51.10729162,CO,1025.25,,
18/3/2016,12.86631947,51.53090292,CO,1064.444444,,
19/3/2016,16.01666662,48.84375006,CO,1088.741667,,
20/3/2016,17.37083332,50.32083342,CO,1161.608333,,
21/3/2016,18.62777777,44.82500007,CO,1071.697222,,
22/3/2016,18.77291673,41.16562509,CO,1090.166667,,
23/3/2016,17.76076395,44.08472221,CO,1082.055556,,
24/3/2016,14.19479162,57.90416666,CO,1043.366667,,
25/3/2016,15.85937502,52.1718752,CO,1030.775,,
26/3/2016,17.20486107,52.44340299,CO,1002.041667,,
27/3/2016,17.36354167,44.8354166,CO,903.3333333,,
28/3/2016,12.12256951,60.46979148,CO,897.6472222,,
29/3/2016,11.66875,59.09791629,CO,919.15,,
30/3/2016,11.63020832,58.79791677,CO,867.8333333,,
31/3/2016,11.66770835,51.29513875,CO,867.5722222,,
1/4/2016,12.58541664,46.54687486,CO,876.0083333,,
2/4/2016,13.46354171,45.72604167,CO,847.6583333,,
3/4/2016,13.39201392,37.65486115,CO,793.4888889,,
4/4/2016,15.51145833,34.4552084,CO,949.5,,
5/4/2016,13.57916671,55.03576361,CO,944.7694444,,
6/4/2016,-11.42604168,19.74201385,CO,850.9916667,,
7/4/2016,17.94479162,49.10416649,CO,1031.033333,,
8/4/2016,19.12951387,45.6961806,CO,1045.708333,,
9/4/2016,18.89166672,50.16041656,CO,962.1166667,,
10/4/2016,16.86250006,53.94687498,CO,1026.775,,
11/4/2016,16.92222225,48.20763882,CO,960.3277778,,
12/4/2016,14.31875002,54.71041652,CO,841.2583333,,
13/4/2016,5.559027821,39.00763864,CO,880.4194444,,
14/4/2016,-191.1645833,-188.8395833,CO,-114.1333333,,
15/4/2016,15.08541665,49.17083333,CO,841.0333333,,
16/4/2016,14.77430556,43.76250022,CO,751.9166667,,
17/4/2016,12.19687499,52.97187511,CO,743.9416667,,
18/4/2016,13.06249996,53.05000003,CO,888.7,,
19/4/2016,15.49236109,47.35243069,CO,914.9777778,,
20/4/2016,14.82916668,51.21562497,CO,1060.7,,
21/4/2016,14.09826386,69.34062526,CO,1063.961111,,
22/4/2016,15.54375006,64.27812509,CO,851.65,,
23/4/2016,15.58750002,64.1427085,CO,856.8083333,,
24/4/2016,13.6024306,67.43055564,CO,844.3805556,,
25/4/2016,16.26562496,56.91250016,CO,920.6416667,,
26/4/2016,19.09062506,44.99444461,CO,939.2861111,,
27/4/2016,21.05416664,39.29687504,CO,927,,
28/4/2016,21.22916664,39.14375009,CO,1041.916667,,
29/4/2016,20.08159728,48.51840254,CO,992.4638889,,
30/4/2016,15.61770836,41.1937501,CO,733.0083333,,
1/5/2016,16.80312501,38.55104178,CO,766.325,,
2/5/2016,20.61215281,35.55208314,CO,899.05,,
3/5/2016,21.08958334,42.77604159,CO,1034.383333,,
4/5/2016,18.91388893,51.19513904,CO,1057.988889,,
5/5/2016,17.98958333,66.56562523,CO,1064.008333,,
6/5/2016,20.13437505,52.17812492,CO,877.95,,
7/5/2016,19.58819454,49.55694434,CO,844.4472222,,
8/5/2016,21.23749995,48.74270846,CO,931.8833333,,
9/5/2016,18.01874993,66.27500014,CO,914.8583333,,
10/5/2016,16.23402773,66.88749998,CO,863.175,,
11/5/2016,14.31458333,62.78229145,CO,800.2666667,,
12/5/2016,15.45520842,55.58888876,CO,799.4638889,,
13/5/2016,14.28020836,59.31250008,CO,801.7416667,,
14/5/2016,15.26041657,56.91770824,CO,816.625,,
15/5/2016,17.94166672,50.46458309,CO,888.2555556,,
16/5/2016,18.97083328,48.04999997,CO,964.7333333,,
17/5/2016,17.21527775,56.31944438,CO,971.0111111,,
18/5/2016,17.67083326,51.33124995,CO,900.7083333,,
19/5/2016,21.81979166,37.30729163,CO,897.4083333,,
20/5/2016,21.03923606,34.38993053,CO,834.7666667,,
21/5/2016,22.35937495,34.83125005,CO,827.5,,
22/5/2016,21.34583342,26.02083321,CO,789.1333333,,
23/5/2016,23.74097229,30.98472227,CO,926.2972222,,
24/5/2016,22.98958332,37.68958332,CO,957.475,,
25/5/2016,23.64236111,37.434375,CO,989.8166667,,
26/5/2016,23.47187508,34.728125,CO,968.6333333,,
27/5/2016,22.04270838,42.35208337,CO,988.3166667,,
